time,open,high,low,close
2026-03-23 08:00,4367.4,4379.94,4098.53,4250.59
2026-03-23 12:00,4250.61,4492.51,4223.25,4478.32
2026-03-23 16:00,4478.32,4512.74,4350.26,4374.91
2026-03-23 20:00,4374.91,4466.8,4370.51,4412.2
2026-03-24 00:00,4380.93,4448.3,4331.15,4364.21
2026-03-24 04:00,4364.21,4379.44,4305.42,4333.4
2026-03-24 08:00,4333.4,4432.72,4319.43,4411.62
2026-03-24 12:00,4411.98,4442.05,4361.8,4379.0
2026-03-24 16:00,4379.1,4434.09,4350.53,4420.91
2026-03-24 20:00,4420.91,4484.03,4372.11,4465.79
2026-03-25 00:00,4479.37,4571.98,4455.65,4563.22
2026-03-25 04:00,4563.21,4602.62,4552.32,4572.95
2026-03-25 08:00,4572.95,4573.54,4532.47,4556.06
2026-03-25 12:00,4556.06,4585.48,4521.62,4543.95
2026-03-25 16:00,4543.63,4579.54,4524.52,4555.1
2026-03-25 20:00,4555.09,4568.92,4486.37,4505.74
2026-03-26 00:00,4521.7,4539.38,4488.44,4535.46
2026-03-26 04:00,4535.45,4544.4,4499.73,4520.2
2026-03-26 08:00,4520.27,4522.27,4412.04,4427.88
2026-03-26 12:00,4427.86,4456.77,4414.16,4429.33
2026-03-26 16:00,4429.33,4479.42,4366.47,4388.95
2026-03-26 20:00,4388.94,4420.9,4351.05,4401.79
2026-03-27 00:00,4386.86,4414.85,4374.88,4378.18
2026-03-27 04:00,4378.18,4449.53,4376.62,4445.8
2026-03-27 08:00,4445.71,4475.07,4423.5,4424.23
2026-03-27 12:00,4424.23,4445.34,4403.71,4437.65
2026-03-27 16:00,4437.68,4555.23,4413.13,4516.07
2026-03-27 20:00,4516.07,4528.84,4485.79,4498.44
2026-03-30 00:00,4511.9,4513.01,4419.19,4431.92
2026-03-30 04:00,4432.24,4517.44,4431.47,4496.76
2026-03-30 08:00,4496.76,4550.6,4496.51,4538.28
2026-03-30 12:00,4538.3,4580.33,4523.39,4569.37
2026-03-30 16:00,4569.4,4578.78,4511.75,4539.48
2026-03-30 20:00,4539.48,4542.18,4492.7,4504.36
2026-03-31 00:00,4517.63,4548.17,4482.16,4547.6
2026-03-31 04:00,4547.6,4619.39,4531.73,4564.77
2026-03-31 08:00,4564.77,4582.01,4542.53,4568.55
2026-03-31 12:00,4568.52,4597.21,4529.1,4574.51
2026-03-31 16:00,4574.51,4651.39,4567.38,4637.89
2026-03-31 20:00,4637.9,4687.17,4636.13,4668.02
2026-04-01 00:00,4674.42,4722.26,4661.43,4710.87
2026-04-01 04:00,4710.91,4724.39,4666.49,4676.14
2026-04-01 08:00,4676.13,4747.6,4674.54,4728.62
2026-04-01 12:00,4728.62,4763.24,4712.42,4724.44
2026-04-01 16:00,4724.44,4790.81,4715.8,4787.23
2026-04-01 20:00,4787.16,4793.02,4741.53,4762.61
2026-04-02 00:00,4757.56,4800.09,4748.66,4784.28
2026-04-02 04:00,4784.28,4786.01,4649.42,4672.27
2026-04-02 08:00,4672.26,4680.55,4553.04,4620.52
2026-04-02 12:00,4620.51,4634.9,4592.57,4601.43
2026-04-02 16:00,4601.43,4699.98,4580.3,4658.77
2026-04-02 20:00,4658.77,4681.9,4645.23,4670.67
2026-04-03 04:00,4723.02,4746.87,4676.68,4718.12
2026-04-06 00:00,4637.52,4652.59,4599.56,4622.39
2026-04-06 04:00,4622.39,4671.85,4620.24,4658.84
2026-04-06 08:00,4658.83,4698.19,4643.31,4695.48
2026-04-06 12:00,4695.46,4706.58,4659.26,4676.0
2026-04-06 16:00,4676.0,4697.6,4651.6,4660.13
2026-04-06 20:00,4660.18,4666.83,4645.25,4650.22
2026-04-07 00:00,4661.76,4667.99,4648.76,4654.49
2026-04-07 04:00,4654.49,4664.34,4616.07,4660.05
2026-04-07 08:00,4660.05,4690.59,4623.35,4682.53
2026-04-07 12:00,4682.52,4694.43,4628.12,4651.33
2026-04-07 16:00,4651.33,4668.92,4607.24,4656.67
2026-04-07 20:00,4656.7,4718.59,4653.53,4712.08
2026-04-08 00:00,4744.5,4857.5,4712.97,4817.47
2026-04-08 04:00,4817.47,4825.41,4787.8,4803.29
2026-04-08 08:00,4803.29,4843.72,4789.83,4793.53
2026-04-08 12:00,4793.52,4807.17,4768.13,4799.63
2026-04-08 16:00,4799.57,4806.72,4731.75,4760.35
2026-04-08 20:00,4760.19,4764.42,4699.24,4719.94
2026-04-09 00:00,4727.56,4729.54,4697.94,4706.51
2026-04-09 04:00,4706.48,4732.93,4698.94,4720.64
2026-04-09 08:00,4720.64,4733.41,4703.26,4725.97
2026-04-09 12:00,4725.92,4759.77,4722.72,4746.0
2026-04-09 16:00,4746.02,4800.71,4738.51,4788.65
2026-04-09 20:00,4788.64,4801.36,4760.65,4764.99
2026-04-10 00:00,4772.11,4772.44,4750.53,4762.89
2026-04-10 04:00,4762.9,4776.84,4737.4,4758.53
2026-04-10 08:00,4758.53,4769.08,4730.27,4740.82
2026-04-10 12:00,4740.83,4782.28,4740.35,4771.89
2026-04-10 16:00,4771.95,4794.88,4747.1,4763.5
2026-04-10 20:00,4763.5,4773.12,4740.63,4750.52
2026-04-13 00:00,4669.38,4698.32,4643.85,4694.92
2026-04-13 04:00,4694.86,4727.94,4693.45,4723.12
2026-04-13 08:00,4723.12,4739.95,4716.05,4722.99
2026-04-13 12:00,4723.31,4729.19,4703.14,4723.25
2026-04-13 16:00,4723.26,4746.51,4699.58,4733.01
2026-04-13 20:00,4733.02,4749.87,4722.67,4738.87
2026-04-14 00:00,4746.79,4775.95,4745.35,4769.9
2026-04-14 04:00,4769.9,4777.19,4761.49,4773.85
2026-04-14 08:00,4773.85,4796.44,4757.73,4786.91
2026-04-14 12:00,4786.91,4789.31,4751.16,4771.08
2026-04-14 16:00,4771.08,4820.29,4770.69,4809.94
2026-04-14 20:00,4809.92,4846.23,4809.08,4841.56
2026-04-15 00:00,4848.95,4850.5,4826.92,4835.38
2026-04-15 04:00,4835.38,4871.2,4816.45,4824.77
2026-04-15 08:00,4824.61,4830.48,4803.35,4817.99
2026-04-15 12:00,4818.01,4819.59,4785.86,4811.62
2026-04-15 16:00,4811.59,4830.75,4786.42,4803.82
2026-04-15 20:00,4803.82,4808.79,4787.93,4789.41
2026-04-16 00:00,4798.19,4837.71,4790.87,4832.8
2026-04-16 04:00,4832.8,4836.19,4811.09,4832.95
2026-04-16 08:00,4833.11,4838.31,4806.36,4813.98
2026-04-16 12:00,4813.95,4823.24,4804.73,4816.27
2026-04-16 16:00,4816.35,4823.95,4771.97,4791.65
2026-04-16 20:00,4791.65,4798.6,4780.96,4790.12
2026-04-17 00:00,4794.48,4801.29,4785.45,4794.86
